GeneID
SCO0047
SCO0110
SCO0143
SCO0155
SCO0193
SCO0241
SCO0250
SCO0253
SCO0264
SCO0289
SCO0296
SCO0298
SCO0307
SCO0310
SCO0344
SCO0345
SCO0357
SCO0376
SCO0430
SCO0447
SCO0485
SCO0487
SCO0512
SCO0520
SCO0530
SCO0557
SCO0574
SCO0582
SCO0605
SCO0610
SCO0622
SCO0629
SCO0640
SCO0646
SCO0659
SCO0669
SCO0724
SCO0734
SCO0745
SCO0772
SCO0794
SCO0800
SCO0822
SCO0823
SCO0840
SCO0857
SCO0875
SCO0887
SCO0891
SCO0927
SCO0940
SCO0953
SCO0981
SCO1003
SCO1008
SCO1034
SCO1066
SCO1078
SCO1104
SCO1108
SCO1135
SCO1145
SCO1177
SCO1186
SCO1191
SCO1193
SCO1200
SCO1309
SCO1312
SCO1325
SCO1353
SCO1358
SCO1360
SCO1366
SCO1430
SCO1447
SCO1616
SCO1642
SCO1658
SCO1703
SCO1718
SCO1736
SCO1813
SCO1872
SCO1890
SCO2143
SCO2201
SCO2209
SCO2243
SCO2280
SCO2319
SCO2331
SCO2378
SCO2398
SCO2442
SCO2501
SCO2544
SCO2647
SCO2657
SCO2745
SCO2775
SCO2846
SCO2859
SCO2865
SCO2869
SCO2875
SCO2964
SCO2987
SCO2994
SCO3075
SCO3133
SCO3167
SCO3173
SCO3201
SCO3205
SCO3259
SCO3269
SCO3275
SCO3291
SCO3315
SCO3320
SCO3414
SCO3419
SCO3435
SCO3447
SCO3485
SCO3522
SCO3606
SCO3632
SCO3696
SCO3699
SCO3769
SCO3773
SCO3804
SCO3812
SCO3900
SCO3914
SCO3932
SCO3979
SCO3981
SCO4008
SCO4019
SCO4032
SCO4081
SCO4099
SCO4102
SCO4122
SCO4153
SCO4167
SCO4188
SCO4190
SCO4194
SCO4197
SCO4198
SCO4215
SCO4261
SCO4270
SCO4303
SCO4308
SCO4313
SCO4336
SCO4358
SCO4375
SCO4391
SCO4407
SCO4413
SCO4434
SCO4445
SCO4450
SCO4454
SCO4461
SCO4465
SCO4480
SCO4482
SCO4485
SCO4628
SCO4640
SCO4836
SCO4871
SCO4892
SCO4898
SCO4942
SCO4944
SCO4952
SCO5017
SCO5033
SCO5036
SCO5068
SCO5082
SCO5095
SCO5231
SCO5238
SCO5405
SCO5416
SCO5483
SCO5532
SCO5552
SCO5574
SCO5611
SCO5636
SCO5758
SCO5803
SCO5811
SCO5831
SCO5847
SCO5942
SCO5951
SCO5956
SCO6003
SCO6105
SCO6121
SCO6153
SCO6194
SCO6208
SCO6223
SCO6246
SCO6256
SCO6265
SCO6294
SCO6299
SCO6350
SCO6358
SCO6413
SCO6425
SCO6448
SCO6459
SCO6555
SCO6565
SCO6620
SCO6675
SCO6694
SCO6704
SCO6733
SCO6770
SCO6778
SCO6784
SCO6792
SCO6802
SCO6812
SCO6830
SCO6993
SCO7025
SCO7056
SCO7061
SCO7142
SCO7146
SCO7168
SCO7201
SCO7222
SCO7230
SCO7307
SCO7347
SCO7351
SCO7411
SCO7424
SCO7433
SCO7438
SCO7497
SCO7502
SCO7512
SCO7539
SCO7543
SCO7552
SCO7562
SCO7584
SCO7585
SCO7591
SCO7599
SCO7602
SCO7624
SCO7639
SCO7645
SCO7694
SCO7696
SCO7698
SCO7702
SCO7704
SCO7709
SCO7719
SCO7724
SCO7727
SCO7742
SCO7753
SCO7765
SCO7778
SCO7794
SCO7815
