genome	regulator	target
Streptomyces_coelicolor_A32	SCO0307	"SCO0026,SCO0066,SCO0067,SCO0132,SCO0138,SCO0156,SCO0241,SCO0289,SCO0301,SCO0302,SCO0307,SCO0308,SCO0329,SCO0352,SCO0982,SCO1031,SCO1199,SCO1209,SCO1226,SCO1497,SCO1498,SCO1778,SCO1870,SCO1967,SCO2058,SCO2059,SCO2098,SCO2102,SCO2103,SCO2321,SCO2322,SCO2338,SCO2339,SCO2383,SCO2401,SCO2502,SCO2522,SCO2523,SCO2523,SCO2524,SCO2549,SCO2553,SCO2554,SCO2571,SCO2578,SCO2579,SCO2592,SCO2648,SCO2681,SCO2817,SCO2819,SCO2820,SCO2863,SCO2884,SCO2948,SCO2949,SCO3079,SCO3098,SCO3107,SCO3108,SCO3110,SCO3119,SCO3120,SCO3231,SCO3324,SCO3439,SCO3775,SCO3776,SCO3800,SCO3842,SCO3894,SCO4009,SCO4009,SCO4035,SCO4117,SCO4120,SCO4146,SCO4147,SCO4167,SCO4168,SCO4235,SCO4261,SCO4297,SCO4298,SCO4314,SCO4315,SCO4362,SCO4401,SCO4797,SCO4920,SCO4935,SCO5075,SCO5076,SCO5161,SCO5244,SCO5258,SCO5285,SCO5286,SCO5286,SCO5299,SCO5306,SCO5401,SCO5545,SCO5667,SCO5694,SCO5729,SCO5799,SCO5818,SCO5826,SCO5827,SCO6004,SCO6026,SCO6027,SCO6138,SCO6163,SCO6174,SCO6175,SCO6213,SCO6217,SCO6218,SCO6235,SCO6236,SCO6348,SCO6360,SCO6361,SCO6467,SCO6484,SCO6545,SCO6563,SCO6594,SCO6595,SCO6614,SCO6650,SCO6651,SCO6670,SCO6671,SCO6713,SCO6714,SCO6927,SCO7027,SCO7131,SCO7161,SCO7162,SCO7195,SCO7252,SCO7380,SCO7381,SCO7422,SCO7541,SCO7622"
Streptomyces_coelicolor_A32	SCO0310	"SCO0287,SCO0309,SCO0310,SCO0310,SCO0311,SCO1871,SCO1872,SCO1934,SCO1978,SCO2615,SCO2686,SCO7134"
Streptomyces_coelicolor_A32	SCO0332	"SCO0086,SCO0329,SCO0330,SCO0868,SCO0869,SCO0959,SCO1237,SCO1238,SCO1797,SCO2770,SCO3060,SCO3350,SCO3385,SCO3500,SCO3501,SCO4541,SCO4932,SCO5159,SCO5212,SCO5213,SCO5384,SCO5509,SCO5587,SCO5676,SCO5810,SCO6814,SCO7253"
Streptomyces_coelicolor_A32	SCO0344	"SCO0279,SCO0343,SCO0344,SCO0492,SCO0693,SCO0694,SCO0747,SCO0748,SCO0762,SCO0812,SCO0822,SCO0823,SCO1335,SCO1568,SCO1633,SCO1818,SCO2027,SCO2183,SCO2869,SCO2870,SCO2869,SCO2870,SCO2990,SCO3098,SCO3099,SCO3177,SCO3215,SCO3217,SCO3229,SCO3456,SCO3508,SCO3633,SCO3905,SCO4005,SCO4006,SCO4018,SCO4019,SCO4060,SCO4061,SCO4296,SCO4567,SCO4767,SCO4857,SCO4858,SCO4874,SCO5207,SCO5208,SCO5477,SCO5639,SCO5716,SCO5975,SCO5976,SCO6005,SCO6020,SCO6321,SCO6738,SCO6739,SCO6789,SCO6790,SCO7167,SCO7170,SCO7471,SCO7739"
Streptomyces_coelicolor_A32	SCO0345	SCO0345
Streptomyces_coelicolor_A32	SCO0357	"SCO0346,SCO0347,SCO0357,SCO0358,SCO0814,SCO0815,SCO3138,SCO4389"
Streptomyces_coelicolor_A32	SCO0376	"SCO0375,SCO0376,SCO1200,SCO1201,SCO5095,SCO6769,SCO6770"
Streptomyces_coelicolor_A32	SCO0407	"SCO0405,SCO0406"
Streptomyces_coelicolor_A32	SCO0421	"SCO0188,SCO0298,SCO0432,SCO0742,SCO0759,SCO0928,SCO0938,SCO0960,SCO1171,SCO1174,SCO1289,SCO1300,SCO1617,SCO1763,SCO1764,SCO1787,SCO1788,SCO1826,SCO1875,SCO2351,SCO2615,SCO2616,SCO2636,SCO2690,SCO2722,SCO2755,SCO2756,SCO2792,SCO2825,SCO2952,SCO3005,SCO3051,SCO3056,SCO3057,SCO3159,SCO3160,SCO3269,SCO3304,SCO3319,SCO3320,SCO3354,SCO3432,SCO3433,SCO3658,SCO3729,SCO3769,SCO3841,SCO3940,SCO3970,SCO4106,SCO4110,SCO4111,SCO4115,SCO5002,SCO5022,SCO5060,SCO5090,SCO5239,SCO5275,SCO5327,SCO5353,SCO5424,SCO5479,SCO5495,SCO5686,SCO5718,SCO5734,SCO5890,SCO5961,SCO6127,SCO6128,SCO6510,SCO6511,SCO6669,SCO6756,SCO6933,SCO6978,SCO6995,SCO7010,SCO7125,SCO7126,SCO7220,SCO7256,SCO7307,SCO7308,SCO7347,SCO7439,SCO7440,SCO7612,SCO7613,SCO7614,SCO7624,SCO7625,SCO7635,SCO7677,SCO7678"
Streptomyces_coelicolor_A32	SCO0430	"SCO0429,SCO0430,SCO0519,SCO0520,SCO1135,SCO2345,SCO5068,SCO5069,SCO7648"
